시도,시군구,합계,음주운전,음주운전,음주운전,음주운전,음주운전,음주운전,음주운전,음주운전,음주운전
시도,시군구,합계,합계,0.05%~0.09%,0.10%~0.14%,0.15%~0.19%,0.20%~0.24%,0.25%~0.29%,0.30%~0.34%,0.35%이상,측정불응
서울,종로구,77,77,11,24,26,10,4,0,1,1
서울,중구,51,51,8,14,20,6,2,0,0,1
서울,용산구,118,118,32,40,32,9,2,0,0,3
서울,성동구,80,80,24,31,19,4,2,0,0,0
서울,동대문구,106,106,27,41,26,6,4,1,0,1
서울,성북구,107,107,25,39,28,11,2,0,0,2
서울,도봉구,48,48,9,18,15,4,0,0,1,1
서울,은평구,82,82,18,36,19,7,0,0,0,2
서울,서대문구,75,75,14,33,22,4,0,0,0,2
서울,마포구,178,178,54,66,43,13,0,0,0,2
서울,강서구,128,128,28,45,34,14,4,0,1,2
서울,구로구,119,119,32,44,29,11,2,0,0,1
서울,영등포구,145,145,37,52,41,10,3,0,0,2
서울,동작구,80,80,20,33,14,12,0,0,0,1
서울,관악구,86,86,20,42,14,7,0,0,0,3
서울,강남구,406,406,79,160,105,38,9,2,1,12
서울,강동구,97,97,22,38,30,6,0,0,1,0
서울,송파구,199,199,37,80,54,22,1,1,0,4
서울,서초구,150,150,35,72,32,6,4,0,0,1
서울,양천구,94,94,14,45,29,5,0,0,0,1
서울,중랑구,72,72,17,30,18,6,0,0,0,1
서울,노원구,111,111,25,52,23,7,2,0,0,2
서울,광진구,104,104,20,42,30,8,4,0,0,0
서울,강북구,88,88,22,30,28,5,1,0,0,2
서울,금천구,73,73,11,39,20,2,1,0,0,0
서울,중구,14,14,4,3,3,4,0,0,0,0
부산,서구,16,16,4,3,7,1,0,0,0,1
부산,동구,20,20,2,7,8,3,0,0,0,0
부산,영도구,14,14,4,6,4,0,0,0,0,0
부산,진구,77,77,19,27,26,1,1,0,0,3
부산,동래구,57,57,14,27,13,1,0,0,0,2
부산,남구,61,61,19,20,16,4,1,1,0,0
부산,북구,41,41,7,19,10,3,2,0,0,0
부산,해운대구,121,121,34,48,27,11,0,0,0,1
부산,사하구,76,76,14,37,16,5,3,0,0,1
부산,금정구,46,46,16,15,10,4,1,0,0,0
부산,강서구,38,38,14,12,10,2,0,0,0,0
부산,연제구,41,41,13,18,6,2,1,0,0,1
부산,수영구,47,47,8,17,16,4,0,0,0,2
부산,사상구,65,65,13,33,16,2,1,0,0,0
부산,기장군,55,55,13,19,18,3,1,0,0,1
부산,중구,75,75,13,33,21,3,2,0,0,3
